quest_id,event_id,condition_quest_id,condition_boss_id,release_quest_id,release_boss_id,condition_main_quest_id
20001101,20001,0,0,20001102,0,11002012
20001102,20001,20001101,0,20001103,0,0
20001103,20001,20001102,0,20001104,0,0
20001104,20001,20001103,0,20001105,0,0
20001105,20001,20001104,0,20001106,0,0
20001106,20001,20001105,0,20001107,0,0
20001107,20001,20001106,0,20001108,0,0
20001108,20001,20001107,0,20001109,0,0
20001109,20001,20001108,0,20001110,0,0
20001110,20001,20001109,0,20001111,0,0
20001111,20001,20001110,0,20001112,0,0
20001112,20001,20001111,0,20001113,0,0
20001113,20001,20001112,0,20001114,0,0
20001114,20001,20001113,0,20001115,0,0
20001115,20001,20001114,0,0,2000101,0
20001201,20001,0,2000101,20001202,0,0
20001202,20001,20001201,0,20001203,0,0
20001203,20001,20001202,0,20001204,0,0
20001204,20001,20001203,0,20001205,0,0
20001205,20001,20001204,0,0,0,0
