equip_id,unique_equip_rank,unit_level,crafted_cost,reward_type_1,item_id_1,consume_num_1,reward_type_2,item_id_2,consume_num_2,reward_type_3,item_id_3,consume_num_3,reward_type_4,item_id_4,consume_num_4,reward_type_5,item_id_5,consume_num_5,reward_type_6,item_id_6,consume_num_6,reward_type_7,item_id_7,consume_num_7,reward_type_8,item_id_8,consume_num_8,reward_type_9,item_id_9,consume_num_9,reward_type_10,item_id_10,consume_num_10
130011,1,30,50000,2,31001,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130011,2,50,150000,2,31001,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130011,3,70,250000,2,31001,10,4,140001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130011,4,90,400000,2,31001,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130011,5,110,500000,2,31001,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130021,1,30,50000,2,31002,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130021,2,50,150000,2,31002,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130021,3,70,250000,2,31002,10,4,140001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130021,4,90,400000,2,31002,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130021,5,110,500000,2,31002,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130031,1,30,50000,2,31003,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130031,2,50,150000,2,31003,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130031,3,70,250000,2,31003,10,4,140001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130031,4,90,400000,2,31003,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130031,5,110,500000,2,31003,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130041,1,30,50000,2,31004,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130041,2,50,150000,2,31004,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130041,3,70,250000,2,31004,10,4,140001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130041,4,90,400000,2,31004,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130041,5,110,500000,2,31004,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130051,1,30,50000,2,31005,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130051,2,50,150000,2,31005,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130051,3,70,250000,2,31005,10,4,140001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130051,4,90,400000,2,31005,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130051,5,110,500000,2,31005,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130061,1,30,50000,2,31006,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130061,2,50,150000,2,31006,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130061,3,70,250000,2,31006,10,4,140001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130061,4,90,400000,2,31006,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130061,5,110,500000,2,31006,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130071,1,30,50000,2,31007,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130071,2,50,150000,2,31007,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130071,3,70,250000,2,31007,10,4,140001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130071,4,90,400000,2,31007,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130071,5,110,500000,2,31007,10,4,140001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130081,1,30,50000,2,31008,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130081,2,50,150000,2,31008,10,4,140001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
