event_boss_treasure_box_id,treasure_type_1,event_boss_treasure_content_id_1,each_odds_1,treasure_type_2,event_boss_treasure_content_id_2,each_odds_2,treasure_type_3,event_boss_treasure_content_id_3,each_odds_3,treasure_type_4,event_boss_treasure_content_id_4,each_odds_4,treasure_type_5,event_boss_treasure_content_id_5,each_odds_5,treasure_type_6,event_boss_treasure_content_id_6,each_odds_6,treasure_type_7,event_boss_treasure_content_id_7,each_odds_7,treasure_type_8,event_boss_treasure_content_id_8,each_odds_8,treasure_type_9,event_boss_treasure_content_id_9,each_odds_9,treasure_type_10,event_boss_treasure_content_id_10,each_odds_10
10001101,1,1000110101,100,1,1000110103,100,1,1000110103,34,1,1000110103,33,1,1000110102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001201,1,1000120101,100,1,1000120102,100,1,1000120103,100,1,1000120105,100,1,1000120105,100,1,1000120105,100,1,1000120105,100,1,1000120105,34,1,1000120105,33,1,1000120104,100
10002101,1,1000210101,100,1,1000210103,100,1,1000210103,34,1,1000210103,33,1,1000210102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002201,1,1000220101,100,1,1000220102,100,1,1000220103,100,1,1000220105,100,1,1000220105,100,1,1000220105,100,1,1000220105,100,1,1000220105,34,1,1000220105,33,1,1000220104,100
10003101,1,1000310101,100,1,1000310103,100,1,1000310103,34,1,1000310103,33,1,1000310102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003201,6,1000320101,3,6,1000320102,3,1,1000320103,100,1,1000320105,100,1,1000320105,100,1,1000320105,100,1,1000320105,100,1,1000320105,34,1,1000320105,33,1,1000320104,100
10004101,1,1000410101,100,1,1000410103,100,1,1000410103,34,1,1000410103,33,1,1000410102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004201,6,1000420101,3,6,1000420102,3,1,1000420103,100,1,1000420105,100,1,1000420105,100,1,1000420105,100,1,1000420105,100,1,1000420105,34,1,1000420105,33,1,1000420104,100
10004301,6,1000430101,100,1,1000430102,100,1,1000430104,100,1,1000430104,100,1,1000430104,100,1,1000430104,100,1,1000430104,34,1,1000430104,33,1,1000430103,100,0,0,0
10005101,1,1000510101,100,1,1000510103,100,1,1000510103,34,1,1000510103,33,1,1000510102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005201,6,1000520101,3,6,1000520102,3,1,1000520103,100,1,1000520105,100,1,1000520105,100,1,1000520105,100,1,1000520105,100,1,1000520105,34,1,1000520105,33,1,1000520104,100
10005301,6,1000530101,100,1,1000530102,100,1,1000530104,100,1,1000530104,100,1,1000530104,100,1,1000530104,100,1,1000530104,34,1,1000530104,33,1,1000530103,100,0,0,0
10006101,1,1000610101,100,1,1000610103,100,1,1000610103,34,1,1000610103,33,1,1000610102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006201,6,1000620101,3,6,1000620102,3,1,1000620103,100,1,1000620105,100,1,1000620105,100,1,1000620105,100,1,1000620105,100,1,1000620105,34,1,1000620105,33,1,1000620104,100
10006301,6,1000630101,100,1,1000630102,100,1,1000630104,100,1,1000630104,100,1,1000630104,100,1,1000630104,100,1,1000630104,34,1,1000630104,33,1,1000630103,100,0,0,0
10007101,1,1000710101,100,1,1000710103,100,1,1000710103,34,1,1000710103,33,1,1000710102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007201,6,1000720101,3,6,1000720102,3,1,1000720103,100,1,1000720105,100,1,1000720105,100,1,1000720105,100,1,1000720105,100,1,1000720105,34,1,1000720105,33,1,1000720104,100
10007301,6,1000730101,100,1,1000730102,100,1,1000730104,100,1,1000730104,100,1,1000730104,100,1,1000730104,100,1,1000730104,34,1,1000730104,33,1,1000730103,100,0,0,0
10008101,1,1000810101,100,1,1000810103,100,1,1000810103,34,1,1000810103,33,1,1000810102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008201,6,1000820101,3,6,1000820102,3,1,1000820103,100,1,1000820105,100,1,1000820105,100,1,1000820105,100,1,1000820105,100,1,1000820105,34,1,1000820105,33,1,1000820104,100
10008301,6,1000830101,100,1,1000830102,100,1,1000830104,100,1,1000830104,100,1,1000830104,100,1,1000830104,100,1,1000830104,34,1,1000830104,33,1,1000830103,100,0,0,0
10009101,1,1000910101,100,1,1000910103,100,1,1000910103,34,1,1000910103,33,1,1000910102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009201,6,1000920101,3,6,1000920102,3,1,1000920103,100,1,1000920105,100,1,1000920105,100,1,1000920105,100,1,1000920105,100,1,1000920105,34,1,1000920105,33,1,1000920104,100
10009301,6,1000930101,100,1,1000930102,100,1,1000930104,100,1,1000930104,100,1,1000930104,100,1,1000930104,100,1,1000930104,34,1,1000930104,33,1,1000930103,100,0,0,0
10010101,1,1001010101,100,1,1001010103,100,1,1001010103,34,1,1001010103,33,1,1001010102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010201,6,1001020101,3,6,1001020102,3,1,1001020103,100,1,1001020105,100,1,1001020105,100,1,1001020105,100,1,1001020105,100,1,1001020105,34,1,1001020105,33,1,1001020104,100
10010301,6,1001030101,100,1,1001030102,100,1,1001030104,100,1,1001030104,100,1,1001030104,100,1,1001030104,100,1,1001030104,34,1,1001030104,33,1,1001030103,100,0,0,0
10010401,6,1001040101,100,1,1001040102,100,1,1001040103,100,1,1001040104,100,1,1001040105,100,1,1001040106,100,1,1001040107,100,1,1001040108,100,1,1001040109,100,1,1001040110,100
10011101,1,1001110101,100,1,1001110103,100,1,1001110103,34,1,1001110103,33,1,1001110102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011201,6,1001120101,3,6,1001120102,3,1,1001120103,100,1,1001120105,100,1,1001120105,100,1,1001120105,100,1,1001120105,100,1,1001120105,34,1,1001120105,33,1,1001120104,100
