100101,1001001,1001002,1001003,0,0,0,0,0,0,0,0,1001501,1001511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100201,1002001,1002002,1002003,0,0,0,0,0,0,0,0,1002501,1002511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100301,1003001,1003002,1003003,0,0,0,0,0,0,0,0,1003501,1003511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100401,1004001,1004002,1004003,0,0,0,0,0,0,0,0,1004501,1004511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100501,1005001,1005002,1005003,0,0,0,0,0,0,0,0,1005501,1005511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100601,1006001,1006002,1006003,0,0,0,0,0,0,0,0,1006501,1006511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100701,1007001,1007002,1007003,0,0,0,0,0,0,0,0,1007501,1007511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100801,1008001,1008002,1008003,0,0,0,0,0,0,0,0,1008501,1008511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100901,1009001,1009002,1009003,0,0,0,0,0,0,0,0,1009501,1009511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101001,1010001,1010002,1010003,0,0,0,0,0,0,0,0,1010501,1010511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101101,1011001,1011002,1011003,0,0,0,0,0,0,0,0,1011501,1011511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101201,1012001,1012002,1012003,0,0,0,0,0,0,0,0,1012501,1012511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101501,1015001,1015002,1015003,0,0,0,0,0,0,0,0,1015501,1015511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101601,1016001,1016002,1016003,0,0,0,0,0,0,0,0,1016501,1016511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101701,1017001,1017002,1017003,0,0,0,0,0,0,0,0,1017501,1017511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101801,1018001,1018002,1018003,0,0,0,0,0,0,0,0,1018501,1018511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102001,1020001,1020002,1020003,0,0,0,0,0,0,0,0,1020501,1020511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102101,1021001,1021002,1021003,0,0,0,0,0,0,0,0,1021501,1021511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102201,1022001,1022002,1022003,0,0,0,0,0,0,0,0,1022501,1022511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102301,1023001,1023002,1023003,0,0,0,0,0,0,0,0,1023501,1023511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102501,1025001,1025002,1025003,0,0,0,0,0,0,0,0,1025501,1025511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102601,1026001,1026002,1026003,0,0,0,0,0,0,0,0,1026501,1026511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102701,1027001,1027002,1027003,0,0,0,0,0,0,0,0,1027501,1027511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102801,1028001,1028002,1028003,0,0,0,0,0,0,0,0,1028501,1028511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102901,1029001,1029002,1029003,0,0,0,0,0,0,0,0,1029501,1029511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103001,1030001,1030002,1030003,0,0,0,0,0,0,0,0,1030501,1030511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103101,1031001,1031002,1031003,0,0,0,0,0,0,0,0,1031501,1031511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
