special_mission_id,disp_group,category_icon,description,purpose_type,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,event_id,start_time,end_time
81010001,103,601,"Defeat Yui's, Rei's and Hiyori's Shadows",0,9001,0,0,0,3,81010001,6011,10010,"2021/12/20 23:00:00","2022/01/07 22:59:59"
81010002,104,601,"Defeat 36 Impure Desires",0,9014,0,0,0,36,81010002,6011,10010,"2021/12/20 23:00:00","2022/01/07 22:59:59"
81010003,105,601,"Defeat 72 Impure Desires",0,9014,0,0,0,72,81010003,6011,10010,"2021/12/20 23:00:00","2022/01/07 22:59:59"
81010004,106,601,"Defeat 108 Impure Desires",0,9014,0,0,0,108,81010004,6011,10010,"2021/12/20 23:00:00","2022/01/07 22:59:59"
81010005,111,601,"Reduce the Special Battle boss's HP to 1080000",0,9013,0,0,0,500000,81010005,6011,10010,"2021/12/20 23:00:00","2022/01/07 22:59:59"
81010006,113,601,"Reduce the Special Battle boss's HP to 540000",0,9013,0,0,0,1040000,81010006,6011,10010,"2021/12/20 23:00:00","2022/01/07 22:59:59"
81010007,115,601,"Defeat the Special Battle boss",0,9013,0,0,0,1580000,81010007,6011,10010,"2021/12/20 23:00:00","2022/01/07 22:59:59"
81011001,103,601,"Reduce the Special Battle boss's HP to 5000000",0,9013,0,0,0,500000,81011001,6011,10011,"2022/01/18 23:00:00","2022/02/05 22:59:59"
81011002,104,601,"Reduce the Special Battle boss's HP to 4000000",0,9013,0,0,0,1500000,81011002,6011,10011,"2022/01/18 23:00:00","2022/02/05 22:59:59"
81011003,105,601,"Clear Mode 1 of the Special Battle",0,9013,0,0,0,1650000,81011003,6011,10011,"2022/01/18 23:00:00","2022/02/05 22:59:59"
81011004,106,601,"Reduce the Special Battle boss's HP to 2000000",0,9013,0,0,0,3500000,81011004,6011,10011,"2022/01/18 23:00:00","2022/02/05 22:59:59"
81011005,111,601,"Clear Mode 2 of the Special Battle",0,9013,0,0,0,3300000,81011005,6011,10011,"2022/01/18 23:00:00","2022/02/05 22:59:59"
81011006,113,601,"Reduce the Special Battle boss's HP to 900000",0,9013,0,0,0,4600000,81011006,6011,10011,"2022/01/18 23:00:00","2022/02/05 22:59:59"
81011007,115,601,"Defeat the Special Battle boss",0,9013,0,0,0,5500000,81011007,6011,10011,"2022/01/18 23:00:00","2022/02/05 22:59:59"
81012001,103,601,"Defeat Kaori's, Makoto's, Maho's and Kasumi's Shadows",0,9001,0,0,0,4,81012001,6011,10012,"2022/02/14 23:00:00","2022/03/05 22:59:59"
81012002,104,601,"Reduce the Special Battle boss's HP to 2700000",0,9013,0,0,0,450000,81012002,6011,10012,"2022/02/14 23:00:00","2022/03/05 22:59:59"
81012003,105,601,"Reduce the Special Battle boss's HP to 2100000",0,9013,0,0,0,1050000,81012003,6011,10012,"2022/02/14 23:00:00","2022/03/05 22:59:59"
81012004,106,601,"Clear Mode 2 of the Special Battle",0,9013,0,0,0,1543500,81012004,6011,10012,"2022/02/14 23:00:00","2022/03/05 22:59:59"
81012005,111,601,"Reduce the Special Battle boss's HP to 1000000",0,9013,0,0,0,2150000,81012005,6011,10012,"2022/02/14 23:00:00","2022/03/05 22:59:59"
81012006,113,601,"Reduce the Special Battle boss's HP to 500000",0,9013,0,0,0,2650000,81012006,6011,10012,"2022/02/14 23:00:00","2022/03/05 22:59:59"
81012007,115,601,"Defeat the Special Battle boss",0,9013,0,0,0,3150000,81012007,6011,10012,"2022/02/14 23:00:00","2022/03/05 22:59:59"
81013001,103,601,"Defeat Pecorine's, Kokkoro's and Karyl's Shadows",0,9001,0,0,0,3,81013001,6011,10013,"2022/03/10 23:00:00","2022/03/27 22:59:59"
81013002,104,601,"Reduce the Special Battle boss's HP to 2700000",0,9013,0,0,0,300000,81013002,6011,10013,"2022/03/10 23:00:00","2022/03/27 22:59:59"
81013003,105,601,"Reduce the Special Battle boss's HP to 2100000",0,9013,0,0,0,900000,81013003,6011,10013,"2022/03/10 23:00:00","2022/03/27 22:59:59"
81013004,106,601,"Clear Mode 2 of the Special Battle",0,9013,0,0,0,1500000,81013004,6011,10013,"2022/03/10 23:00:00","2022/03/27 22:59:59"
81013005,111,601,"Reduce the Special Battle boss's HP to 1000000",0,9013,0,0,0,2000000,81013005,6011,10013,"2022/03/10 23:00:00","2022/03/27 22:59:59"
81013006,113,601,"Reduce the Special Battle boss's HP to 500000",0,9013,0,0,0,2500000,81013006,6011,10013,"2022/03/10 23:00:00","2022/03/27 22:59:59"
81013007,115,601,"Defeat the Special Battle boss",0,9013,0,0,0,3000000,81013007,6011,10013,"2022/03/10 23:00:00","2022/03/27 22:59:59"
81015001,103,601,"Defeat Monika's, Ayumi's and Yuki's Shadows",0,9001,0,0,0,3,81015001,6011,10015,"2022/04/05 23:00:00","2022/04/20 22:59:59"
81015002,104,601,"Reduce the Special Battle boss's HP to 1200000",0,9013,0,0,0,300000,81015002,6011,10015,"2022/04/05 23:00:00","2022/04/20 22:59:59"
81015003,105,601,"Reduce the Special Battle boss's HP to 1000000",0,9013,0,0,0,500000,81015003,6011,10015,"2022/04/05 23:00:00","2022/04/20 22:59:59"
81015004,106,601,"Clear Mode 2 of the Special Battle",0,9013,0,0,0,750000,81015004,6011,10015,"2022/04/05 23:00:00","2022/04/20 22:59:59"
81015005,111,601,"Reduce the Special Battle boss's HP to 400000",0,9013,0,0,0,1100000,81015005,6011,10015,"2022/04/05 23:00:00","2022/04/20 22:59:59"
81015006,113,601,"Reduce the Special Battle boss's HP to 200000",0,9013,0,0,0,1300000,81015006,6011,10015,"2022/04/05 23:00:00","2022/04/20 22:59:59"
81015007,115,601,"Defeat the Special Battle boss",0,9013,0,0,0,1500000,81015007,6011,10015,"2022/04/05 23:00:00","2022/04/20 22:59:59"
81017001,103,601,"Defeat Rem's and Ram's Shadows",0,9001,0,0,0,2,81017001,6011,10017,"2022/05/02 23:00:00","2022/05/18 22:59:59"
81017002,104,601,"Reduce the Special Battle boss's HP to 2,850,000",0,9013,0,0,0,300000,81017002,6011,10017,"2022/05/02 23:00:00","2022/05/18 22:59:59"
81017003,105,601,"Reduce the Special Battle boss's HP to 2,250,000",0,9013,0,0,0,900000,81017003,6011,10017,"2022/05/02 23:00:00","2022/05/18 22:59:59"
81017004,106,601,"Reduce the Special Battle boss's HP to 1,650,000",0,9013,0,0,0,1500000,81017004,6011,10017,"2022/05/02 23:00:00","2022/05/18 22:59:59"
81017005,111,601,"Reduce the Special Battle boss's HP to 1,150,000",0,9013,0,0,0,2000000,81017005,6011,10017,"2022/05/02 23:00:00","2022/05/18 22:59:59"
81017006,113,601,"Reduce the Special Battle boss's HP to 650,000",0,9013,0,0,0,2500000,81017006,6011,10017,"2022/05/02 23:00:00","2022/05/18 22:59:59"
81017007,115,601,"Reduce the Special Battle boss's HP to 150,000",0,9013,0,0,0,3000000,81017007,6011,10017,"2022/05/02 23:00:00","2022/05/18 22:59:59"
81017008,118,601,"Clear the Special or Exhibition Battle within 5 attempts",0,9015,5,0,0,1,81017008,6011,10017,"2022/05/02 23:00:00","2022/05/18 22:59:59"
81019001,103,601,"Destroy the Great Rain God's barrier",4,9014,0,0,0,200,81019001,6011,10019,"2022/06/01 23:00:00","2022/06/19 22:59:59"
81019002,104,601,"Reduce the Special Battle boss's HP to 3,600,000",1,9013,0,0,0,900000,81019002,6011,10019,"2022/06/01 23:00:00","2022/06/19 22:59:59"
81019003,105,601,"Reduce the Special Battle boss's HP to 3,000,000",1,9013,0,0,0,1500000,81019003,6011,10019,"2022/06/01 23:00:00","2022/06/19 22:59:59"
81019004,106,601,"Clear Mode 2 of the Special Battle",1,9013,0,0,0,2250000,81019004,6011,10019,"2022/06/01 23:00:00","2022/06/19 22:59:59"
81019005,111,601,"Reduce the Special Battle boss's HP to 1,200,000",1,9013,0,0,0,3300000,81019005,6011,10019,"2022/06/01 23:00:00","2022/06/19 22:59:59"
81019006,113,601,"Reduce the Special Battle boss's HP to 600,000",1,9013,0,0,0,3900000,81019006,6011,10019,"2022/06/01 23:00:00","2022/06/19 22:59:59"
81019007,115,601,"Defeat the Special Battle boss",1,9013,0,0,0,4500000,81019007,6011,10019,"2022/06/01 23:00:00","2022/06/19 22:59:59"
