chara_id,unit_id_1,unit_id_2,unit_id_3,unit_id_4,unit_id_5,unit_id_6,unit_id_7,unit_id_8,unit_id_9,unit_id_10
1001,100101,0,0,0,0,0,0,0,0,0
1002,100201,0,0,0,0,0,0,0,0,0
1003,100301,0,0,0,0,0,0,0,0,0
1004,100401,0,0,0,0,0,0,0,0,0
1005,100501,0,0,0,0,0,0,0,0,0
1006,100601,0,0,0,0,0,0,0,0,0
1007,100701,0,0,0,0,0,0,0,0,0
1008,100801,0,0,0,0,0,0,0,0,0
1009,100901,0,0,0,0,0,0,0,0,0
1010,101001,0,0,0,0,0,0,0,0,0
1011,101101,0,0,0,0,0,0,0,0,0
1012,101201,0,0,0,0,0,0,0,0,0
1013,101301,0,0,0,0,0,0,0,0,0
1014,101401,0,0,0,0,0,0,0,0,0
1015,101501,0,0,0,0,0,0,0,0,0
1016,101601,0,0,0,0,0,0,0,0,0
1017,101701,0,0,0,0,0,0,0,0,0
1018,101801,0,0,0,0,0,0,0,0,0
1020,102001,0,0,0,0,0,0,0,0,0
1021,102101,0,0,0,0,0,0,0,0,0
1022,102201,0,0,0,0,0,0,0,0,0
1023,102301,0,0,0,0,0,0,0,0,0
1025,102501,0,0,0,0,0,0,0,0,0
1026,102601,0,0,0,0,0,0,0,0,0
1027,102701,0,0,0,0,0,0,0,0,0
1028,102801,0,0,0,0,0,0,0,0,0
1029,102901,0,0,0,0,0,0,0,0,0
1030,103001,0,0,0,0,0,0,0,0,0
1031,103101,0,0,0,0,0,0,0,0,0
1032,103201,0,0,0,0,0,0,0,0,0
1033,103301,0,0,0,0,0,0,0,0,0
1034,103401,0,0,0,0,0,0,0,0,0
1036,103601,0,0,0,0,0,0,0,0,0
1037,103701,0,0,0,0,0,0,0,0,0
1038,103801,0,0,0,0,0,0,0,0,0
1040,104001,0,0,0,0,0,0,0,0,0
1042,104201,0,0,0,0,0,0,0,0,0
1043,104301,0,0,0,0,0,0,0,0,0
1044,104401,0,0,0,0,0,0,0,0,0
1045,104501,0,0,0,0,0,0,0,0,0
1046,104601,0,0,0,0,0,0,0,0,0
1047,104701,0,0,0,0,0,0,0,0,0
1048,104801,0,0,0,0,0,0,0,0,0
1049,104901,0,0,0,0,0,0,0,0,0
1050,105001,0,0,0,0,0,0,0,0,0
1051,105101,0,0,0,0,0,0,0,0,0
1052,105201,0,0,0,0,0,0,0,0,0
1053,105301,0,0,0,0,0,0,0,0,0
1054,105401,0,0,0,0,0,0,0,0,0
1055,105501,0,0,0,0,0,0,0,0,0
1056,105601,0,0,0,0,0,0,0,0,0
1057,105701,0,0,0,0,0,0,0,0,0
1058,105801,0,0,0,0,0,0,0,0,0
1059,105901,0,0,0,0,0,0,0,0,0
1060,106001,0,0,0,0,0,0,0,0,0
1061,106101,0,0,0,0,0,0,0,0,0
1063,106301,0,0,0,0,0,0,0,0,0
1065,106501,0,0,0,0,0,0,0,0,0
1066,106601,0,0,0,0,0,0,0,0,0
1068,106801,0,0,0,0,0,0,0,0,0
1070,107001,0,0,0,0,0,0,0,0,0
1071,107101,0,0,0,0,0,0,0,0,0
1075,107501,0,0,0,0,0,0,0,0,0
1076,107601,0,0,0,0,0,0,0,0,0
1077,107701,0,0,0,0,0,0,0,0,0
1078,107801,0,0,0,0,0,0,0,0,0
1079,107901,0,0,0,0,0,0,0,0,0
1080,108001,0,0,0,0,0,0,0,0,0
1081,108101,0,0,0,0,0,0,0,0,0
1082,108201,0,0,0,0,0,0,0,0,0
1083,108301,0,0,0,0,0,0,0,0,0
1084,108401,0,0,0,0,0,0,0,0,0
1085,108501,0,0,0,0,0,0,0,0,0
1086,108601,0,0,0,0,0,0,0,0,0
1087,108701,0,0,0,0,0,0,0,0,0
1088,108801,0,0,0,0,0,0,0,0,0
1089,108901,0,0,0,0,0,0,0,0,0
1090,109001,0,0,0,0,0,0,0,0,0
1091,109101,0,0,0,0,0,0,0,0,0
1092,109201,0,0,0,0,0,0,0,0,0
1093,109301,0,0,0,0,0,0,0,0,0
1094,109401,0,0,0,0,0,0,0,0,0
1095,109501,0,0,0,0,0,0,0,0,0
1096,109601,0,0,0,0,0,0,0,0,0
1097,109701,0,0,0,0,0,0,0,0,0
1098,109801,0,0,0,0,0,0,0,0,0
1099,109901,0,0,0,0,0,0,0,0,0
1100,110001,0,0,0,0,0,0,0,0,0
1101,110101,0,0,0,0,0,0,0,0,0
1103,110301,0,0,0,0,0,0,0,0,0
1104,110401,0,0,0,0,0,0,0,0,0
1105,110501,0,0,0,0,0,0,0,0,0
1106,110601,0,0,0,0,0,0,0,0,0
1107,110701,0,0,0,0,0,0,0,0,0
1108,110801,0,0,0,0,0,0,0,0,0
1109,110901,0,0,0,0,0,0,0,0,0
1110,111001,0,0,0,0,0,0,0,0,0
1111,111101,0,0,0,0,0,0,0,0,0
1112,111201,0,0,0,0,0,0,0,0,0
1113,111301,0,0,0,0,0,0,0,0,0
