quest_id,area_id,quest_name,wave_group_id_1,bg_skip_id
10001101,10001101,"Event 01: Normal 1-1",101020403,100011
10001102,10001101,"Event 01: Normal 1-2",101010103,100011
10001103,10001101,"Event 01: Normal 1-3",101010203,100091
10001104,10001101,"Event 01: Normal 1-4",101010501,100041
10001105,10001101,"Event 01: Normal 1-5",101010603,100091
10001106,10001101,"Event 01: Normal 1-6",101050802,100061
10001107,10001101,"Event 01: Normal 1-7",101051003,100021
10001108,10001101,"Event 01: Normal 1-8",102040107,100041
10001109,10001101,"Event 01: Normal 1-9",101010102,100011
10001110,10001101,"Event 01: Normal 1-10",101020305,100091
10001111,10001101,"Event 01: Normal 1-11",101010104,100101
10001112,10001101,"Event 01: Normal 1-12",101040807,100061
10001113,10001101,"Event 01: Normal 1-13",101080205,100041
10001114,10001101,"Event 01: Normal 1-14",101020103,100091
10001115,10001101,"Event 01: Normal 1-15",101041102,100091
10001201,10001201,"Event 01: Hard 1-1",101050306,100361
10001202,10001201,"Event 01: Hard 1-2",101070504,100771
10001203,10001201,"Event 01: Hard 1-3",101070902,100451
10001204,10001201,"Event 01: Hard 1-4",101071207,100731
10001205,10001201,"Event 01: Hard 1-5",101080107,100381
10002101,10002101,"Little Lyrical Adventures: Normal 1-1",101020403,100061
10002102,10002101,"Little Lyrical Adventures: Normal 1-2",101010103,100011
10002103,10002101,"Little Lyrical Adventures: Normal 1-3",101010203,100061
10002104,10002101,"Little Lyrical Adventures: Normal 1-4",101010501,100011
10002105,10002101,"Little Lyrical Adventures: Normal 1-5",101010603,100041
10002106,10002101,"Little Lyrical Adventures: Normal 1-6",101050802,100021
10002107,10002101,"Little Lyrical Adventures: Normal 1-7",101051003,100201
10002108,10002101,"Little Lyrical Adventures: Normal 1-8",102040107,100201
10002109,10002101,"Little Lyrical Adventures: Normal 1-9",101010102,100201
10002110,10002101,"Little Lyrical Adventures: Normal 1-10",101020305,100061
10002111,10002101,"Little Lyrical Adventures: Normal 1-11",101010104,100171
10002112,10002101,"Little Lyrical Adventures: Normal 1-12",101040807,100151
10002113,10002101,"Little Lyrical Adventures: Normal 1-13",101080205,101141
10002114,10002101,"Little Lyrical Adventures: Normal 1-14",101020103,101141
10002115,10002101,"Little Lyrical Adventures: Normal 1-15",101041102,101141
10002201,10002201,"Little Lyrical Adventures: Hard 1-1",101050306,100471
