boss_id,event_id,area_id,difficulty,quest_name,position_x,position_y,boss_position_x,boss_position_y,result_boss_position_y,icon_id,use_ticket_num,team_exp,unit_exp,love,limit_time,daily_limit,clear_reward_group,event_boss_treasure_box_id_1,background_1,wave_group_id_1,wave_bgm_sheet_id_1,wave_bgm_que_id_1,story_id_wavestart_1,story_id_waveend_1,detail_bg_id,detail_bg_position,detail_boss_bg_size,detail_boss_bg_height,reward_gold_coefficient,reward_gold_limit,start_time,end_time,map_position_x,map_position_y,map_size,deatail_aura_size,map_aura_size,oneblow_count_of_skip_condition,required_skip_ticket_count,retire_flag,disp_on_bg
1000101,10001,10001101,1,"Boss Battle (NORMAL)",870,10,770,-40,270,200010,20,0,0,0,90,0,610001011,10001101,81000105,610001146,bgm_M47,bgm_M47,0,0,81000105,0,1.0,0.0,0.03,100000,"2021/02/17 23:00:00","2021/03/06 22:59:59",0.0,0.0,0.6,1.0,1.0,0,0,0,0
1000102,10001,10001201,2,"Boss Battle (HARD)",500,10,450,-40,270,200010,30,0,0,0,90,0,610001021,10001201,81000106,610001216,bgm_M47,bgm_M47,0,0,81000106,0,1.0,0.0,0.03,100000,"2021/02/17 23:00:00","2021/03/06 22:59:59",0.0,0.0,0.6,1.0,1.0,0,0,0,0
1000201,10002,10002101,1,"Boss Battle (NORMAL)",870,10,770,-40,40,510021,20,0,0,0,90,0,610002011,10002101,81000205,610002001,bgm_M102,bgm_M102,5002301,0,81000205,0,1.3,0.0,0.03,100000,"2021/03/22 23:00:00","2021/04/11 22:59:59",0.0,0.0,0.6,1.0,1.0,0,0,0,0
1000202,10002,10002201,2,"Boss Battle (HARD)",500,10,450,-40,40,510022,30,0,0,0,90,0,610002021,10002201,81000207,610002002,bgm_M102,bgm_M102,5002302,0,81000207,0,1.3,0.0,0.03,100000,"2021/03/22 23:00:00","2021/04/11 22:59:59",0.0,0.0,0.6,1.0,1.0,0,0,0,0
1000301,10003,10003101,1,"Boss Battle (NORMAL)",870,10,770,-40,20,510031,20,0,0,0,90,0,610003011,10003101,81000305,610003001,bgm_M109,bgm_M109,5003302,0,81000305,0,1.1,30.0,0.03,100000,"2021/04/28 23:00:00","2021/05/18 22:59:59",0.0,0.0,0.6,1.0,1.0,0,0,0,0
1000302,10003,10003201,2,"Boss Battle (HARD)",500,10,450,-40,20,510032,30,0,0,0,90,0,610003021,10003201,81000306,610003002,bgm_M109,bgm_M109,5003301,0,81000306,0,1.1,30.0,0.03,100000,"2021/04/28 23:00:00","2021/05/18 22:59:59",0.0,0.0,0.6,1.0,1.0,0,0,0,0
1000401,10004,10004101,1,"Boss Battle (NORMAL)",870,10,770,-40,20,510041,20,0,0,0,90,0,610004011,10004101,81000405,610004001,bgm_M116,bgm_M116,5004301,0,81000405,0,1.1,30.0,0.03,100000,"2021/06/03 23:00:00","2021/06/22 22:59:59",0.0,0.0,0.6,1.0,1.0,0,0,0,0
1000402,10004,10004201,2,"Boss Battle (HARD)",30,-5,450,-40,20,510042,30,0,0,0,90,0,610004021,10004201,81000406,610004002,bgm_M116,bgm_M116,5004302,0,81000406,0,1.1,30.0,0.03,100000,"2021/06/03 23:00:00","2021/06/22 22:59:59",0.0,0.0,0.6,1.0,1.0,0,0,0,0
1000403,10004,10004201,3,"Boss Battle (VERY HARD)",500,-70,450,-40,20,510042,30,0,0,0,90,1,610004031,10004301,81000406,610004003,bgm_M116,bgm_M116,5004308,0,81000406,0,1.1,30.0,0.03,100000,"2021/06/03 23:00:00","2021/06/22 22:59:59",0.0,0.0,0.6,1.0,1.0,0,0,0,0
1000501,10005,10005101,1,"Boss Battle (NORMAL)",870,10,770,-40,90,510051,20,0,0,0,90,0,610005011,10005101,81000505,610005001,bgm_M124,bgm_M124,5005301,0,81000505,0,1.3,90.0,0.03,100000,"2021/07/09 23:00:00","2021/07/28 22:59:59",0.0,0.0,0.6,1.0,1.0,0,0,0,0
