music_id,list_name,font_size,pre_shop_start,shop_start,shop_end,story_id,cost_item_num,sort,kana,ios_url,android_url,dmm_url
1,"Lost Princess",20.0,"","2021-10-12 23:00:00","",-1,-1,1,"Lost Princess",%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-01/1361481742?app=itunes,Br3pksgngmty2s7ovfeflpklt5a,A2001197329/
2,"Connecting Happy!!",20.0,"","2021-10-12 23:00:00","",-1,-1,2,"Connecting Happy!!",%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes,B2m4zv3rn3o4cxukqtjny3sioda,A2001197334/
3,"The Journey Begins",20.0,"","2021-10-12 23:00:00","",-1,1000,3,"The Journey Begins","","",""
4,"Forest Winds",20.0,"","2021-10-12 23:00:00","",-1,1000,4,"Forest Winds","","",""
5,Mesarthim,20.0,"","2021-10-12 23:00:00","",-1,1000,5,Mesarthim,"","",""
6,"Hatsune's Perfect Present",20.0,"","2021-10-12 23:00:00","",-1,1000,6,"Hatsune's Perfect Present","","",""
7,Ziz,20.0,"","2021-10-12 23:00:00","",-1,1000,7,Ziz,"","",""
8,"Smiley Contrast",20.0,"","2021-10-12 23:00:00","",-1,1500,8,"Smiley Contrast",%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes,Blcnkk6svg3dnhgclbpdljuqjcq,A2001305115/
9,Minotaurus,20.0,"","2021-10-12 23:00:00","",-1,1000,9,Minotaurus,"","",""
10,"Little Lyrical Adventure",20.0,"","2021-10-12 23:00:00","",-1,1000,10,"Little Lyrical Adventure","","",""
11,Alma,20.0,"","2021-10-12 23:00:00","",-1,1000,11,Alma,"","",""
12,"Little Adventure",20.0,"","2021-10-12 23:00:00","",-1,1500,12,"Little Adventure",%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes,Bxzjx4azjbgy4jl5pw7wwd7nx2e,A2001336697/
13,Glutton,20.0,"","2021-10-12 23:00:00","",-1,1000,13,Glutton,"","",""
14,"Trick or Pudding! The Promised Halloween Party",20.0,"","2021-10-12 23:00:00","",-1,1000,14,"Trick or Pudding! The Promised Halloween Party","","",""
15,Jack-o-Pudding,20.0,"","2021-10-12 23:00:00","",-1,1000,15,Jack-o-Pudding,"","",""
16,"More! Party Night for Two",20.0,"","2021-10-12 23:00:00","",-1,1500,16,"More! Party Night for Two",%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes,B2cxqh5uebipjexv2liwzl6aecu,A2001411119/
17,"Sparkling Ice Crystals",20.0,"","2021-10-12 23:00:00","",-1,1000,17,"Sparkling Ice Crystals","","",""
