boss_id,skip_motion_id,skip_bg_id,skip_position_x,skip_position_y,skip_scale_x,skip_scale_y
1001101,306700,81001105,0,0,1.0,1.0
1001102,306700,81001106,0,0,1.0,1.0
1001201,306800,81001205,0,0,1.0,1.0
1001202,306800,81001206,0,0,1.0,1.0
1001301,307000,81001305,0,0,1.0,1.0
1001302,307000,81001306,0,0,1.0,1.0
1001401,307500,81001405,0,0,1.0,1.0
1001402,307500,81001406,0,0,1.0,1.0
1001501,307300,81001505,0,0,1.0,1.0
1001502,307300,81001506,0,0,1.0,1.0
1001601,307700,81001605,0,0,1.0,1.0
1001602,307700,81001606,0,0,1.0,1.0
1001701,307400,81001705,0,0,1.0,1.0
1001702,307400,81001706,0,0,1.0,1.0
1001801,307900,81001805,0,0,1.0,1.0
1001802,307900,81001806,0,0,1.0,1.0
1001901,307800,81001905,0,0,1.0,1.0
1001902,307800,81001906,0,0,1.0,1.0
