quest_id,event_id,condition_quest_id_1,condition_quest_id_2,condition_boss_id_1,condition_boss_id_2,release_quest_id_1,release_quest_id_2,release_boss_id_1,release_boss_id_2,condition_main_quest_id
10001101,10001,0,0,0,0,10001102,0,0,0,11002012
10001102,10001,10001101,0,0,0,10001103,0,0,0,0
10001103,10001,10001102,0,0,0,10001104,0,0,0,0
10001104,10001,10001103,0,0,0,10001105,0,0,0,0
10001105,10001,10001104,0,0,0,10001106,0,0,0,0
10001106,10001,10001105,0,0,0,10001107,0,0,0,0
10001107,10001,10001106,0,0,0,10001108,0,0,0,0
10001108,10001,10001107,0,0,0,10001109,0,0,0,0
10001109,10001,10001108,0,0,0,10001110,0,0,0,0
10001110,10001,10001109,0,0,0,10001111,0,0,0,0
10001111,10001,10001110,0,0,0,10001112,0,0,0,0
10001112,10001,10001111,0,0,0,10001113,0,0,0,0
10001113,10001,10001112,0,0,0,10001114,0,0,0,0
10001114,10001,10001113,0,0,0,10001115,0,0,0,0
10001115,10001,10001114,0,0,0,0,0,1000101,0,0
10001201,10001,0,0,1000101,0,10001202,0,0,0,0
10001202,10001,10001201,0,0,0,10001203,0,0,0,0
10001203,10001,10001202,0,0,0,10001204,0,0,0,0
10001204,10001,10001203,0,0,0,10001205,0,0,0,0
10001205,10001,10001204,0,0,0,0,0,0,0,0
10002101,10002,0,0,0,0,10002102,0,0,0,11002012
10002102,10002,10002101,0,0,0,10002103,0,0,0,0
10002103,10002,10002102,0,0,0,10002104,0,0,0,0
10002104,10002,10002103,0,0,0,10002105,0,0,0,0
10002105,10002,10002104,0,0,0,10002106,0,0,0,0
10002106,10002,10002105,0,0,0,10002107,0,0,0,0
10002107,10002,10002106,0,0,0,10002108,0,0,0,0
10002108,10002,10002107,0,0,0,10002109,0,0,0,0
10002109,10002,10002108,0,0,0,10002110,0,0,0,0
10002110,10002,10002109,0,0,0,10002111,0,0,0,0
10002111,10002,10002110,0,0,0,10002112,0,0,0,0
10002112,10002,10002111,0,0,0,10002113,0,0,0,0
10002113,10002,10002112,0,0,0,10002114,0,0,0,0
10002114,10002,10002113,0,0,0,10002115,0,0,0,0
10002115,10002,10002114,0,0,0,0,0,1000201,0,0
10002201,10002,0,0,1000201,0,10002202,0,0,0,0
10002202,10002,10002201,0,0,0,10002203,0,0,0,0
10002203,10002,10002202,0,0,0,10002204,0,0,0,0
10002204,10002,10002203,0,0,0,10002205,0,0,0,0
10002205,10002,10002204,0,0,0,0,0,0,0,0
10003101,10003,0,0,0,0,10003102,0,0,0,11002012
10003102,10003,10003101,0,0,0,10003103,0,0,0,0
10003103,10003,10003102,0,0,0,10003104,0,0,0,0
10003104,10003,10003103,0,0,0,10003105,0,0,0,0
10003105,10003,10003104,0,0,0,10003106,0,0,0,0
10003106,10003,10003105,0,0,0,10003107,0,0,0,0
10003107,10003,10003106,0,0,0,10003108,0,0,0,0
10003108,10003,10003107,0,0,0,10003109,0,0,0,0
10003109,10003,10003108,0,0,0,10003110,0,0,0,0
10003110,10003,10003109,0,0,0,10003111,0,0,0,0
10003111,10003,10003110,0,0,0,10003112,0,0,0,0
10003112,10003,10003111,0,0,0,10003113,0,0,0,0
10003113,10003,10003112,0,0,0,10003114,0,0,0,0
10003114,10003,10003113,0,0,0,10003115,0,0,0,0
10003115,10003,10003114,0,0,0,0,0,1000301,0,0
10003201,10003,0,0,1000301,0,10003202,0,0,0,0
10003202,10003,10003201,0,0,0,10003203,0,0,0,0
10003203,10003,10003202,0,0,0,10003204,0,0,0,0
10003204,10003,10003203,0,0,0,10003205,0,0,0,0
10003205,10003,10003204,0,0,0,0,0,0,0,0
10004101,10004,0,0,0,0,10004102,0,0,0,11002012
10004102,10004,10004101,0,0,0,10004103,0,0,0,0
10004103,10004,10004102,0,0,0,10004104,0,0,0,0
10004104,10004,10004103,0,0,0,10004105,0,0,0,0
10004105,10004,10004104,0,0,0,10004106,0,0,0,0
10004106,10004,10004105,0,0,0,10004107,0,0,0,0
10004107,10004,10004106,0,0,0,10004108,0,0,0,0
10004108,10004,10004107,0,0,0,10004109,0,0,0,0
10004109,10004,10004108,0,0,0,10004110,0,0,0,0
10004110,10004,10004109,0,0,0,10004111,0,0,0,0
10004111,10004,10004110,0,0,0,10004112,0,0,0,0
10004112,10004,10004111,0,0,0,10004113,0,0,0,0
10004113,10004,10004112,0,0,0,10004114,0,0,0,0
10004114,10004,10004113,0,0,0,10004115,0,0,0,0
10004115,10004,10004114,0,0,0,0,0,1000401,0,0
10004201,10004,0,0,1000401,0,10004202,0,0,0,0
10004202,10004,10004201,0,0,0,10004203,0,0,0,0
10004203,10004,10004202,0,0,0,10004204,0,0,0,0
10004204,10004,10004203,0,0,0,10004205,0,0,0,0
10004205,10004,10004204,0,0,0,0,0,0,0,0
10005101,10005,0,0,0,0,10005102,0,0,0,11002012
10005102,10005,10005101,0,0,0,10005103,0,0,0,0
10005103,10005,10005102,0,0,0,10005104,0,0,0,0
10005104,10005,10005103,0,0,0,10005105,0,0,0,0
10005105,10005,10005104,0,0,0,10005106,0,0,0,0
